"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79"
"Batch1_Cell22",3.92179217184131,3.0139747234806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47467008465632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92179217184131,0,0,0,0,0,0,0,0
"Batch1_Cell23",2.4516022740203,0,0,0,1.31619073348473,0,3.07901762970229,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79915168958756,0,0,0,0,0,0,0,0,0,0,3.07901762970229,0,0,0,0,0,0,1.31619073348473,0,0,0,0,0,0,0,1.31619073348473,1.99282472605918,0,3.07901762970229,1.99282472605918,0,0,1.99282472605918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4516022740203,0,1.31619073348473,0,0,0,0,0,2.4516022740203
"Batch1_Cell24",3.69628268426947,0,0,0,0.845996866898831,0,2.0669589890029,0,0,0,0,0,0,0,1.37574159867937,0,0,0,0,0,1.37574159867937,0,0,2.0669589890029,0,0,0,1.76235691628219,0,0,0,3.86370141109276,0,0,0,0,0,0,0.845996866898831,0,0,0,0,0,0,0,0.845996866898831,0,0,3.0316699361408,0,0,0,1.37574159867937,0,0,0,0,0.845996866898831,0,0,0,0,0.845996866898831,0,1.76235691628219,0,0,0,0,0,0,1.37574159867937,0,0,0,0,0,1.76235691628219
"Batch1_Cell25",2.25545945727281,2.25545945727281,0,0,0,0,2.25545945727281,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09587831645804,0,0,0,0,0,0,2.25545945727281,0,0,0,4.31283337217157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09587831645804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25545945727281,0,0,0,0,0,0,0,0,0,0,0,0,2.25545945727281
"Batch1_Cell26",3.13139586684688,0,0,0,0,0,2.97261004170428,0,0,0.542641099615329,0,0.542641099615329,0,0,0.542641099615329,0,0,0,0,0.542641099615329,2.35324714574981,0,0,2.69591375064301,0,0,0,0.542641099615329,0.542641099615329,0.93604304467148,0,3.52389362534002,0.542641099615329,0,0,0,0,0,1.24483233336089,0,0,0,0,0,0,0,0,0.93604304467148,0,1.49904058465809,0,0,0,0.93604304467148,0,0,0,0,0.542641099615329,0,0,0,0,0.542641099615329,0,2.21819020852835,0,0.542641099615329,0,0,1.90296891144167,0,1.71509538600169,0,0.542641099615329,0,0,0,1.71509538600169
"Batch1_Cell27",3.15624064566209,0,0,0,0,0,2.21819020852835,0,0,0,0,0.686028867355662,0,0,0,0,0,0,0,0,1.49904058465809,0,0,2.21819020852835,0,0,1.14906283017865,0.686028867355662,0,0.686028867355662,0,4.31283337217157,0,0,0.686028867355662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01587027969272,0.686028867355662,0,0,1.14906283017865,0,0,0,1.14906283017865,2.01587027969272,0,0,0,0,0,0,1.49904058465809,0,0,1.14906283017865,0,1.78047629725405,0,1.49904058465809,0,0,0,0,0,0.686028867355662
"Batch1_Cell28",3.78032731199628,0,0,0,1.27236591267375,0,1.27236591267375,0,0,0,0,0,0,0,0,0,0,0,0,2.39141616081543,0,0,0,0,0,0,1.93777658633258,0,0,0,0,4.56371827602448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93777658633258,0,0,0,0,0,0,0,0,0,0,2.73601925432192,0,0,0,0,0,0,0,0,0,0,0,1.27236591267375,0,1.27236591267375,0,0,0,0,0,0
"Batch1_Cell29",3.09587831645804,1.17522935475295,0.704114038950629,0,0,0,4.00893981606422,0.704114038950629,0,0,0,1.17522935475295,0,0,0,0,0,0,0,0.704114038950629,0.704114038950629,0,0,1.52978681807542,0,0,0,0,0,0.704114038950629,0,2.98560660255234,0,0,0.704114038950629,0,0.704114038950629,0,0,0,0,0,0,0,0,0,0.704114038950629,0,0,0,0,0,0,2.05162250330138,0,0,0,1.52978681807542,0.704114038950629,0,0.704114038950629,0,0,0.704114038950629,0,2.43402961978428,0,0,0,0.704114038950629,1.81417122967902,0,1.17522935475295,0,0,0,0,0,1.52978681807542
"Batch1_Cell30",2.18235364587949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92179217184131,0,0,0,3.0139747234806,0,0,3.0139747234806,0,0,0,0,4.22455526418907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0139747234806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch1_Cell31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00893981606422,0,0,0,2.25545945727281,0,0,2.25545945727281,0,0,0,0,4.56371827602448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62346776759277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
